CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Aetna (Plan: All),Payer Negotiated Charge: Aetna Better Health of IL Illinicare (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of IL MCD Rep (Plan: All),Payer Negotiated Charge: Cigna PPO (Plan: All),Payer Negotiated Charge: Health Alliance Medical Plans (Plan: All),Payer Negotiated Charge: Healthlink Inc. HMO (Plan: All),Payer Negotiated Charge: Healthlink PPO (Plan: All),Payer Negotiated Charge: IlliniCare MCD Rep DOS prior to 120120 (Plan: All),Payer Negotiated Charge: Medicaid Illinois (Plan: All),Payer Negotiated Charge: Medicare A IL J6 (Plan: All),Payer Negotiated Charge: Medicare B IL J6 (Plan: All),Payer Negotiated Charge: Meridian Health Plan of IL (Plan: All),Payer Negotiated Charge: Molina Healthcare of IL MCD Rep (Plan: All),Payer Negotiated Charge: Multiplan Inc. for American Family (Plan: All),Payer Negotiated Charge: United Healthcare (Plan: All)
0002-3240-30,,0002-3240-30,,,,,DULOXETINE HCL 30 MG PO CPEP [39276],34.4,34.4,,,,,,,,,,,,,,,,,,
0002-7510-17,,J1815,,,,,INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN (VIAL) [17405],321.4,321.4,,,,,,,,,,,,,,,,,,
0002-8215-17,,J1815,,,,,INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN [10289],174,174,,,,,,,,,,,,,,,,,,
0002-8315-17,,J1815,,,,,INSULIN ISOPHANE HUMAN 100 UNIT/ML SC SUSP (VIAL) [10284],174,174,,,,,,,,,,,,,,,,,,
0002-8715-17,,J1815,,,,,INSULIN ISOPHANE - REGULAR (70-30) 100 UNIT/ML SC SUSP (VIAL)   [10286],174,174,,,,,,,,,,,,,,,,,,
0003-0526-20,,0003-0526-20,,,,,PH TEST VI TEST [11702],129.3,129.3,,,,,,,,,,,,,,,,,,
0003-0894-31,,0003-0894-31,,,,,APIXABAN 5 MG PO TABS [136617],32.5,32.5,,,,,,,,,,,,,,,,,,
0004-0800-85,,0004-0800-85,,,,,OSELTAMIVIR PHOSPHATE 75 MG PO CAPS [26546],59.3,59.3,,,,,,,,,,,,,,,,,,
0004-0822-05,,0004-0822-05,,,,,OSELTAMIVIR PHOSPHATE 6 MG/ML PO SUSR [127353],592.5,592.5,,,,,,,,,,,,,,,,,,
0005-4344-62,,0005-4344-62,,,,,CENTRUM PO LIQD [1481],25.4,25.4,,,,,,,,,,,,,,,,,,
0006-0277-31,,0006-0277-31,,,,,SITAGLIPTIN PHOSPHATE 100 MG PO TABS [77661],64.6,64.6,,,,,,,,,,,,,,,,,,
0006-4681-00,,90707,,,,,"MEASLES, MUMPS & RUBELLA VAC IJ SOLR [10512]",320.3,320.3,,,,,,,,,,,,,,,,,,
0006-4943-00,,90732,,,,,PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ [11037],430.8,430.8,,,,,,,,,,,,,,,,,,
0006-4943-01,,90732,,,,,PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ [11037],430.8,430.8,,,,,,,,,,,,,,,,,,
0008-0923-51,,C9113,,,,,PANTOPRAZOLE SODIUM 40 MG IV SOLR [26226],31,31,,,,,,,,,,,,,,,,,,
0008-4001-25,,C9113,,,,,PANTOPRAZOLE SODIUM 40 MG IV SOLR [26226],31,31,,,,,,,,,,,,,,,,,,
0009-0011-03,,J1720,,,,,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR [141874],60.2,60.2,,,,,,,,,,,,,,,,,,
0009-0011-04,,J1720,,,,,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR [141874],60.2,60.2,,,,,,,,,,,,,,,,,,
0009-0039-28,,J2920,,,,,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR [10580],31,31,,,,,,,,,,,,,,,,,,
0009-0039-30,,J2920,,,,,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR [10580],31,31,,,,,,,,,,,,,,,,,,
0009-0047-22,,J2930,,,,,METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR [10578],38,38,,,,,,,,,,,,,,,,,,
0009-0047-25,,J2930,,,,,METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR [10578],38,38,,,,,,,,,,,,,,,,,,
0009-0698-02,,J2930,,,,,METHYLPREDNISOLONE SODIUM SUCC 1000 MG IJ SOLR [10577],171.6,171.6,,,,,,,,,,,,,,,,,,
0009-0775-20,,0009-0775-20,,,,,CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN - SSM SO [901779],31,31,,,,,,,,,,,,,,,,,,
0009-0775-26,,0009-0775-26,,,,,CLINDAMYCIN PHOSPHATE 150 MG/ML IJ SOLN - SSM SO [901779],31,31,,,,,,,,,,,,,,,,,,
0009-5140-01,,J2020,,,,,LINEZOLID 600 MG IN 300 ML PREMIX [150531],188.1,188.1,,,,,,,,,,,,,,,,,,
0013-1114-15,,0013-1114-15,,,,,TRANEXAMIC ACID 1000 MG/10ML IV SOLN [150527],117.6,117.6,,,,,,,,,,,,,,,,,,
0019-1323-78,,Q9967,,,,,IOVERSOL 68 % IJ SOLN [39700],126.8,126.8,,,,,,,,,,,,,,,,,,
0019-1333-90,,Q9967,,,,,IOVERSOL 74 % IJ SOLN [13178],271.7,271.7,,,,,,,,,,,,,,,,,,
0019-4816-04,,Q9963,,,,,DIATRIZOATE MEGLUMINE - SODIUM 66-10 % PO SOLN [9828],80.5,80.5,,,,,,,,,,,,,,,,,,
0023-0240-04,,0023-0240-04,,,,,ARTIFICIAL TEARS OPHTHALMIC OINTMENT (SO) [902062],33.5,33.5,,,,,,,,,,,,,,,,,,
0023-3205-03,,0023-3205-03,,,,,BIMATOPROST 0.01 % OP SOLN [122226],847,847,,,,,,,,,,,,,,,,,,
0023-5879-01,,0023-5879-01,,,,,NEPHRO-VITE RX 1 MG PO TABS [24129],6,6,,,,,,,,,,,,,,,,,,
0023-9205-15,,0023-9205-15,,,,,CARBOXYMETHYLCELLULOSE SODIUM 1 % OP GEL [38321],30.8,30.8,,,,,,,,,,,,,,,,,,
0024-2792-10,,J2916,,,,,NA FERRIC GLUC CPLX IN SUCROSE 12.5 MG/ML IV SOLN [24932],124.1,124.1,,,,,,,,,,,,,,,,,,
0032-1206-01,,0032-1206-01,,,,,AMYLASE-LIPASE-PROTEASE 6000 UNIT PO CPEP [113327],7,7,,,,,,,,,,,,,,,,,,
0049-0014-81,,J0295,,,,,AMPICILLIN-SULBACTAM SODIUM 2-1 GM IJ SOLR [9084],56.3,56.3,,,,,,,,,,,,,,,,,,
0049-0014-83,,J0295,,,,,AMPICILLIN-SULBACTAM SODIUM 2-1 GM IJ SOLR [9084],56.3,56.3,,,,,,,,,,,,,,,,,,
0049-3920-20,,J3486,,,,,ZIPRASIDONE MESYLATE 20 MG IM SOLR [33175],213.2,213.2,,,,,,,,,,,,,,,,,,
0049-3920-83,,J3486,,,,,ZIPRASIDONE MESYLATE 20 MG IM SOLR [33175],213.3,213.3,,,,,,,,,,,,,,,,,,
0054-0017-20,,J7512,,,,,PREDNISONE 10 MG PO TABS [6494],6,6,,,,,,,,,,,,,,,,,,
0054-0235-24,,0054-0235-24,,,,,MORPHINE SULFATE 15 MG PO TABS [5178],6,6,,,,,,,,,,,,,,,,,,
0054-0517-44,,0054-0517-44,,,,,MORPHINE SULFATE (CONCENTRATE) 20 MG/ML PO SOLN [134329],81.9,81.9,,,,,,,,,,,,,,,,,,
0054-4550-15,,J8610,,,,,METHOTREXATE 2.5 MG PO TABS [4973],13.2,13.2,,,,,,,,,,,,,,,,,,
0054-8175-25,,J8540,,,,,DEXAMETHASONE 4 MG PO TABS [2327],6,6,,,,,,,,,,,,,,,,,,
0054-8297-25,,0054-8297-25,,,,,FUROSEMIDE 20 MG PO TABS [3294],6,6,,,,,,,,,,,,,,,,,,
0054-8527-25,,0054-8527-25,,,,,LITHIUM CARBONATE 300 MG PO CAPS [4529],6,6,,,,,,,,,,,,,,,,,,
00574-06915,,00574-06915,,,,,GLUCOSE 40 % PO GEL [82615],12.8,12.8,,,,,,,,,,,,,,,,,,
0065-0530-01,,0065-0530-01,,,,,EYE WASH OP SOLN SSM SO [902957],73.6,73.6,,,,,,,,,,,,,,,,,,
0065-0741-14,,0065-0741-14,,,,,TETRACAINE HCL 0.5 % OP SOLN [7795],41.4,41.4,,,,,,,,,,,,,,,,,,
0069-3150-84,,J0456,,,,,AZITHROMYCIN 500 MG IV SOLR [21063],31,31,,,,,,,,,,,,,,,,,,
