Charge Code Description,Rate
MUG CUSTOM,0
TRAY SUTURE REMOVER,0
STAPLE REMOVER DISPOSABLE,0
Hospice Room Board,750
ISOLATION SUPPLIES PER DAY,100
ISOLATION ROOM MED/SURG,850
PRIVATE CARE,750
SWING BED SEMI PRIVATE CARE,550
SPECIAL CARE/day,850
TELEMETRY BED PER DAY,250
MATTRESS AIR FLOTATION  per day,14.6
RESPITE LEVEL III,213
OPERATING ROOM 1-30  MINS,396.5
OPERATING ROOM ADDITIONAL,141.5
OPERATING ROOM 91-120 MIN,755
OPERATING ROOM 31-60 MINU,625
OPERATING ROOM 61-90 MINU,656.5
RECOVERY ROOM 1-30 MINUTE,238
RECOVERY ROOM 31-60 MINUT,296.5
RECOVERY ROOM ADDITIONAL,85
ABDOMEN UNLISTED PROCEDUR,"2,700.00"
AMP FINGER/THUMB,"1,768.00"
AMP INTERHANLANGEAL JNT,"2,206.00"
"AMP METATARSAL, W/TOE SIN","2,400.00"
AMP THIGH THRU FEMUR,"3,200.00"
AMP TOE METATARSOPHELA,"2,650.00"
APPENDECTOMY,"1,930.00"
BX EX LYMPH NODES:OPEN,"1,488.00"
BX OF BREAST/OPEN/INCISIO,"5,050.00"
CARPAL TUNNEL REPAIR,"2,070.00"
CATARACT REMOVAL,"2,810.00"
CHOLECYSTECTOMY,"6,600.00"
CHOLECYSTECTOMY;W/CHOLANG,"6,600.00"
D&C NON OBSTETRICAL,"1,930.00"
DEBRIDE EXT INFECT SKIN I,206.7
"DEBRIDEMENT;SKIN,SUBCUTA,",365
"ENTERECTOMY,RESECT SM INT","2,564.36"
EXC BEN LES SCLP/NCK >4.0,"2,208.00"
EXC BREAST LES MALE/FEMAL,"2,375.00"
"EXC FACE,EAR,NOSE 0.5CM O",446
EXC FC/E/NOSE 2.1-3.0 CM,"1,328.00"
"EXC LES MAL SCLP,NCK,HND,","1,698.00"
EXC LES SC NK HD FT <0.5C,231.53
"EXC LES SC,NK,HN,FT 1.0-2",912.41
EXC LES SPERMATIC CORD SE,"2,628.00"
EXC MAL LES FACE EAR E-LI,"1,837.87"
EXC MAL LES FACE/EAR,476
EXC OTHER BENIGN LESION 0,612.99
EXC TRNK ARMS LEGS >4.0 C,716.63
"EXC TRNK,ARMS,LEGS 3.1-4","1,856.00"
EXC TRNK/ARM/LEGS 0.6-1.0,"1,447.20"
EXC TRNK/ARM/LEGS 1.1-2.0,330.75
EXPLORATORY LAPOROTOMY,850
HALLUX VALGUS CORRECT W/W,"5,193.94"
"HALLUX VALGUS CORRECTION,","3,030.00"
HALLUX VALGUS/MCBRIDE/MAY,"3,078.00"
HAMMERTOE ONE TOE,"2,206.00"
I&D ABCESS PERIANAL,592
I&D ABCESS PERIRECTAL,"2,024.00"
"I&D ABSCESS, COMPLICATED/",304
IMPLANT MESH HERNIA REPAI,"3,200.00"
INCISE EXTERNAL HERORRHOI,492
ESI LUMBAR,650
INSERT CV TUNNELD CATH,"3,070.83"
INSERT PICC CATH,"1,080.00"
IV INF HYDRAT EA ADD HR,35
ORCHIECTOMY SIMPLE,"2,628.00"
OSTEOTOMY FIFTH METATARSA,"2,206.00"
"REPAIR,RECURRENT ING HERN","3,500.00"
"RMVL SKIN TAGS,1-15",135
RPR HERNIA ING INITIAL 6M,"3,200.00"
RPR HERNIA INGUINAL RE,"3,200.00"
RPR HERNIA INIT 5Y,"3,200.00"
RPR HERNIA UMB INCAR 5,"3,200.00"
RPR ING HERNIA INCARC >5Y,"3,500.00"
RPR RCURNT INC/VENT HERNI,"3,200.00"
RPR RECUR INC/VENTRAL HER,"3,200.00"
UNLISTED PROCEDURE COLON,"2,363.00"
SURGICAL OPENING OF STOMACH,"1,300.97"
"BX SKIN, ADD ON",117.97
CIRCUMCISION >28 DAYS,216.96
BX OF RECTUM,304.84
BX NECK/CHEST,152.68
EXC LESION PERIANAL,925
"CYSTECTOMY, OVARIAN,LAPAROSCOPIC","1,626.56"
AMP LEG THRU TIBIAFIBULA RE-AMPUTATION,"6,202.34"
GANGLION CYST WRIST,333.53
Gastrorhaphy suture duod or gastric ulce,"1,444.37"
Sphincterotomy,"3,817.24"
LAPAROSCOPY FUNDOPLASTY,"11,602.37"
EXC BACK LES SC 3 CM/>,"4,000.00"
CRT HALLUX VALGUS(BUNION),"3,078.00"
GASTRIC PEXY,"3,699.00"
INC & DRN PILONIDAL CYST,600
RPR FEM HERNIA INIT REDUCE ANY AGE,"2,675.43"
EXC MAL LES S/N/H/F/G >4.0 CM,"2,077.22"
REMOVAL GANGLION CYST  FOOT,448.49
ASPIRATE  PLEURA W/O IMAGING,991
ENTEROLOSIS FREENG ADHESION,"3,631.00"
BREDMNT SKIN  SUBQ NECRO ABD WALL,"3,087.00"
DEBRIDEMENT SUBCUTANE TISSUE 20 SQ CM/<,"1,095.95"
BIOPSY THIGH/KNEE SOFT TISSUES,"4,385.51"
LARYNGOSCOPY FLEXIBLE DIAGNOSTIC,455.5
RPR EPIGASTRIC HERNIA INCARCERATED,"5,344.25"
ESOPHAGUS PROCEDURE,185
ARTHROCENTESIS-INTER J,250
BIOPSY OF CERVIX,"1,592.50"
"BIOPSY, MUSCLE, DEEP",425
BRONCHOSCOPE W/W/O FLU,272
"BX SKIN/SUBQ TISSUE, 1",117.97
"CAPSULOTOMY,METATARSOP","2,543.00"
"COLONOSCOPY,FLEXIBLE,PROX. SPLENIC FLEX","1,500.00"
COLONOSCOPY FLEX W/BX,"1,500.00"
COLONOSCOPY RMVE POLYP,"1,500.00"
DEBRIMNT; SKIN PARTIAL,182.95
EGD DIAGNOSTIC,"1,450.00"
EGD W/BALLOON DILATION,"1,065.20"
EGD W/BIOPSY,"2,154.94"
EGD W/RMVL POLYP SNARE,715
EGD W/RMVL POLYP(S),"1,000.00"
EXC BENIGN LESION 3.1-,875
"EXC LES SC,NK,HN,FT 1.",912.41
EXC TRNK ARMS LEGS >4.,716.63
I&D NECK ABSCESS,"3,850.00"
"INC/DRNG HEMATOMA,SERO","1,420.00"
"IV PUSH, SAME DRUG 30>",45
LAP ABD DIAGNOSTIC,"3,612.00"
LAP APPENDECTOMY,"5,529.04"
LAP CHOLE W/CHOLANGIOG,"5,529.00"
LAP CHOLECYSTECTOMY,"8,053.18"
LAP HERNIA UNLISTED,"3,612.00"
LAP PROC ABD PERI/OMEN,"3,800.00"
LAP RPR HERNIA INCARCE,"5,000.00"
LAP SURG W/FULGN OVIDU,"4,874.00"
MOD CONS SED >5YR 30 M,50
"REMOVAL FOREIGN BODY,","1,333.33"
RPR BLADDER AND VAGINA,"3,200.00"
RPR INT SCLP TRNK EXT,340
SALPINGO-OOPHTMY,"1,360.00"
SIGMOIDOSCOPY FLEX DX,496
TOE RPR HARDWARE 1,700
TOTAL ABD HYST W/WO TU,"2,427.60"
SIGMOIDOSCOPY AND BIOPSY,"1,727.25"
LAPAROSCOPY EXCISE LESIONS,"5,551.83"
PART REMOVAL OF METATARSAL,"2,842.26"
VASC EMBOLIZE/OCCLUDE BLEED,"15,164.50"
DELIVERY OF PLACENTA,"2,180.00"
OPERATING ROOM 31-60 M,625
OPERATING ROOM 91-120,755
LABOR/DELIVERY ROOM,487.75
REV OF FOOT TENDON,445
Rapid Urease Test,23.12
THYROID LOBECTOMY TOTAL,"5,646.34"
"TONSILLECTOMY,PRIM/SEC AG","2,605.97"
TX/PR/DX INJSQ/IM,55
WEDGE BIOPSY OF LIVER,"3,201.00"
SURGEON'S VISIT NEW 1,90
SURGEON'S VISIT NEW 2,142
SURGEON'S VISIT NEW 3,215
SURGEON'S VISIT NEW 4,305
SURGEON'S VISIT EST 1,115
SURGEON'S VISIT EST 2,167
SURGEON'S VISIT EST 3,240
SURGEON'S VISIT EST 4,330
VASECTOMY,"1,300.00"
ARTHRODESIS,700
"ARTHROPLASTY, INTEROPHALANGEAL JOINT",600
ESI CERVICAL,650
INJ TRANSFORAMINAL LUMBAR,650
INJ PARS/FACET BLOCK L/S,650
INJ SACROILIAC JOINT,650
INJ TRIGGER POINT 1-2 MUSCLES,320
INJ NERVE BLOCK LUMBAR,650
INJ NERVE BLOCK OCCIPITAL,650
CYSTOSCOPY,600
PLACEMENT OF PEG TUBE,920
"IMPLANT NEUROSTIMULATOR ELECT, EPIDURAL","10,000.00"
NEUROSTIMULATOR PROGRAMMING,100
Partial Removal Eye Fluid,466.84
Anoscopy Removal of Lesions,254.14
Insert Central Venous Cath >5 yo,818.73
Fluoroscopic Guided Central Venous Dev,114.84
REMOVAL OF BONE FOR GRAFT,612.8
REMOVAL OF EYE,"1,083.00"
REMOVE EYE/INSERT IMPLANT,"1,131.93"
REMOVE EYE/ATTACH IMPLANT,"1,252.14"
NEEDLE BIOPSY LIVEER ADD-ON,154.43
Cystoscopy w/Stent Removal,"3,117.83"
Mastectomy w/axillary lymphadenectomy,967.42
REMOVE/GRAFT FOOT LESION,"6,636.00"
RELEASE FINGER CONTRACTURE,"2,167.72"
INCISION OF METATARSAL,"2,482.50"
TOTAL ABDOMINAL HYSTERECTOMY,"4,800.00"
Thyroid Partial Lobectomy w/w/o isthmus,"4,250.00"
aMPUTATION LEG THROUGH TI,"6,245.00"
Matrixectomy,450
EGD W/REMOVAL FORIEGN BODY,"1,926.00"
D&C SONTANEOUS AB,971
LAPOROSCOPIC OOPHORECTOMY,"1,298.58"
Ileostomy thru Stoma w/w/o specimen,160
"Colectomy, Total,Abd w/o Proct W/Ileos","3,200.00"
Decompression Plantar Digital Nerve,950
MASTECTOMY PARTIAL,"4,487.44"
EXPLORATION IOF SCROTUM,600
HYDROCELECTOMY,600
SUBQ MASTECTOMY,"1,117.64"
Lap Enterolysis,965.73
"Colectomy,Partial with anastomosis","3,200.00"
Rem lens material aspir tech 1 or more,457
"Exc H,F,Nk,SP b9 +Marg 0.6-1",185
EXC HIP/PELV TUM DEEP > 5CM,525
I&D Elbow Complex,425
I&D Ear Complicated,426.74
"Exploration, Neck",650
I&D Ear Simple,364.9
"Mastectomy, Simple, Completre","1,200.00"
Drainage Tonsi l Abscess,296.77
EGD W/REMOVAL OF STENT,"1,926.00"
EXCISION BARTHOLIN CYST,900.03
COLECTOMY HARTMANN PROCEDURE,"4,916.04"
REMOVAL PORT A CATH,866.4
OOPHORECTOMY TOTAL OR PARTIAL UNI OR BI,"2,344.00"
HALLUS RIGIDUS CORRECTION,"4,123.00"
PARTIAL REMOVAL OF TOE,"2,511.00"
REMOVAL SESAMOID BONE,"2,924.80"
REMOVAL OF FOOT LESION,"3,046.50"
RPR RECTOCELE,"4,485.03"
COLPOPEXY EXTRAPERITONEAL,"4,594.93"
LUMBAR PUNCTURE DIAGNOSTIC,808.09
REMOVL/EXPLORE/TREAT HAND JOINT,"2,227.00"
DES BENIGN LES UP TO 14,113
DEBRIDEMENT OPEN WOUND 20 SQ CM/&lt,358.75
DIAGNOSTIC COLONOSCOPY,"2,466.24"
"FASCIOTOMY, FOOT",461.62
LAPOROSCOPIC PLANTAR FASCIOTOMY,651.81
CYSTOSTOMY W/ DRAINAGE,"4,940.00"
"SPLIT THICKNESS SKIN GRAFT, SINGLE/100CM",852.47
SKIN GRAFT SUBSEQ 100CM EACH,789.98
VENTRAL HERNIA REPAIR,"3,976.67"
Exploration of Ankle Joint,"4,065.83"
Removal of foot lesion,"3,486.52"
"EXCISION PILONIDAL CYST, SIMPLE","1,878.00"
SURG DX EXAM ANORECTAL,"3,326.00"
PELVIC EXAMINATION W/ANESTHESIA,"3,393.00"
iNCISION SECONDARY CATARACT,"1,498.00"
CATARACT SURGERY COMPLEX,"3,887.75"
AFTER CATARACT LASER SURGERY,"1,359.63"
REMOVAL OF LENS LESION,"1,988.50"
BIOPSY OF PROSTATE,"2,587.33"
